Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Little Town,2022-04-20,2,,1,4,,2,,,,
Race for the Galaxy,2022-04-20,2,,1,3,,4,,,,
Floriferous,2022-04-20,3,,2,4,,1,,,,
Floriferous,2022-04-20,1,,2,3,,4,,,,
Lost Ruins of Arnak,2022-04-23,1f,2f,,,,,,3f,,
Lost Ruins of Arnak,2022-04-30,3,1,,,,,,2,,
Lost Ruins of Arnak,2022-05-01,3,1,,,,2f,,,,
Lost Ruins of Arnak,2022-05-06,3,2,,,,1,,,,
Race for the Galaxy,2022-05-06,1,3,,,,2,,,,
Race for the Galaxy,2022-05-06,2,1,,,,3,,,,
Race for the Galaxy,2022-05-07,1,3,,,,2,,,,
Race for the Galaxy,2022-05-07,1,3,,,,2,,,,
Lost Ruins of Arnak,2022-05-08,3,2,1f,,,,,,,
Race for the Galaxy,2022-05-08,2,3,1,,,,,,,
Furnace,2022-05-13,1,4,2f,,,3,,,,
Race for the Galaxy,2022-05-13,3,4,1,,,2,,,,
Race for the Galaxy,2022-05-16,1,3,,,,2,,,,
Floriferous,2022-05-16,2,1,,,,3,,,,
Minute Realms,2022-05-16,3,1,,,,2,,4,,
Minute Realms,2022-05-16,1,2,,,,4,,3,,
Race for the Galaxy,2022-05-16,2,3,,,,1,,4,,
Race for the Galaxy,2022-05-20,2,3,,,,1,,,,
Race for the Galaxy,2022-05-20,1,3,,,,2,,,,
Floriferous,2022-05-20,3,1,,,,2,,,,
Floriferous,2022-05-20,2,3,,,,1,,,,
Race for the Galaxy,2022-05-23,1,2,,,,3,,,,
Race for the Galaxy,2022-05-23,1,3,,,,2,,,,
Race for the Galaxy,2022-05-26,1,3,,,,2,,,,
Race for the Galaxy,2022-05-26,2,3,,,,1,,,,
Suburbia,2022-06-03,1f,2f,,,,,,3,,
Race for the Galaxy,2022-06-03,1,2,,,,3,,,,
Race for the Galaxy,2022-06-03,1,3,,,,2,,,,
Lost Ruins of Arnak,2022-06-05,1,2,3,,,,,,,
Lost Ruins of Arnak,2022-06-05,1,3,2,,,,,,,
Suburbia,2022-06-09,1,2,,,,,,3,,
Suburbia,2022-06-09,2,3,,,,,,1,,
Floriferous,2022-06-17,3,2,,1,,,,,,
Floriferous,2022-06-17,2,1,,3,,,,,,
Floriferous,2022-06-19,3,2,,1,,,,,,
Floriferous,2022-06-19,4,2,,3,,1,,,,
Race for the Galaxy,2022-07-05,2,,1,3,,,,,,
Race for the Galaxy,2022-07-05,2,,1,3,,,,,,
Floriferous,2022-07-08,4,2,3,1,,,,,,
Little Town,2022-07-08,1,3,4,1,,,,,,
Race for the Galaxy,2022-07-08,1,4,2,3,,,,,,
Race for the Galaxy,2022-07-09,2,,1,,,3,,,,
Libertalia,2022-07-09,1f,2f,3f,,,4f,,,,
Floriferous,2022-07-09,,3,,1,,2,,,,
Floriferous,2022-07-09,,2,,1,,3,,,,
Race for the Galaxy,2022-07-10,2,3,1,4,,,,,,
Race for the Galaxy,2022-07-10,2,4,1,3,,,,,,
Herbaceous,2022-07-10,1,1,3,4,,,,,,
Herbaceous,2022-07-10,1,4,3,1,,,,,,
Libertalia,2022-07-14,2,1,,,,,,3f,,
Libertalia,2022-07-15,1,3,,,,,,2,,
Libertalia,2022-07-15,1,2,,,,,,3,,
Floriferous,2022-07-16,1,2,,,,3,,,,
Race for the Galaxy,2022-07-17,1,4,2,3,,5,,,,
Race for the Galaxy,2022-07-18,2,4,1,5,,3,,,,
Suburbia,2022-07-18,2,,1f,,,3f,,,,
Floriferous,2022-07-19,4,2,,3,,1,,,,
Suburbia,2022-07-19,4,1,2,,,3,,,,
Race for the Galaxy,2022-07-19,5,4,1,2,,3,,,,
Race for the Galaxy,2022-07-19,1,4,5,3,,2,,,,
Meadow,2022-07-19,2,3,,4,,1,,,,
Meadow,2022-07-20,1,3,,2,,,,,,
Meadow,2022-07-20,1,3,,1,,,,,,
Floriferous,2022-07-20,4,3,1,,,2,,,,
Race for the Galaxy,2022-07-20,3,,1,2,,4,,,,
Race for the Galaxy,2022-07-20,1,,3,4,,2,,,,
Race for the Galaxy,2022-07-20,4,,2,1,,3,,,,
Meadow,2022-07-21,1,4,,2,,3,,,,
Race for the Galaxy,2022-07-21,2,3,1,4,,,,,,
Suburbia,2022-07-21,3,4,1,,,2,,,,
Race for the Galaxy,2022-07-21,2,3,1,4,,5,,,,
Race for the Galaxy,2022-07-21,4,,1,3,,1,,,,
Herbaceous,2022-07-22,1,3,2,4,,,,,,
Herbaceous,2022-07-22,2,4,3,1,,,,,,
Floriferous,2022-07-22,1,2,,,,3,,,,
Meadow,2022-07-23,,1,,2,,3,,,,
Meadow,2022-07-23,3,2,,1,,,,,,
Libertalia,2022-07-24,2,1,,,,,,3,,
Libertalia,2022-07-26,2,1,,,,,,3,,
Roll for the Galaxy,2022-07-31,3,2,,,,,,1,,
Roll for the Galaxy,2022-07-31,1,3,,,,,,2,,
Roll for the Galaxy,2022-08-02,1,3,,,,2,,,,
Floriferous,2022-08-04,3,2,,1,,,,,,
Herbaceous,2022-08-04,1,3,,2,,,,,,
Roll for the Galaxy,2022-08-05,1,3,,,,2,,,,
Roll for the Galaxy,2022-08-06,4,3,2f,,,1,,,,
Roll for the Galaxy,2022-08-06,2,,1,,,3,,,,
Roll for the Galaxy,2022-08-13,3,1,2,,,,,,,
Roll for the Galaxy,2022-08-13,2,2,1,,,,,,,
Roll for the Galaxy,2022-08-20,1,2,,,,3,,,,
Roll for the Galaxy,2022-08-20,2,3,,,,1,,,,
Roll for the Galaxy,2022-08-20,3,1,4,,,2,,,,
Roll for the Galaxy,2022-08-20,1,2,3,,,4,,,,
Roll for the Galaxy,2022-08-20,1,3,,,,2,,,,
Roll for the Galaxy,2022-08-20,1,3,,,,2,,,,
Roll for the Galaxy,2022-08-20,2,3,1,,,4,,,,
Roll for the Galaxy,2022-08-20,2,,1,,,3,,,,
Roll for the Galaxy,2022-08-21,2,3,1,,,,,,,
Roll for the Galaxy,2022-08-21,1,3,2,,,,,,,
Roll for the Galaxy,2022-08-21,1,4,3,,,2,,,,
